,code,score,ranking,ra,dec,lens_spec_z,lens_cw_photo_z_med,lens_cw_stmass_med,einstein_radius,F115W_lens_magnitude_ab,F150W_lens_magnitude_ab,F277W_lens_magnitude_ab,F444W_lens_magnitude_ab,F115W_source_magnitude_ab,F150W_source_magnitude_ab,F277W_source_magnitude_ab,F444W_source_magnitude_ab,F115W_magnification,F150W_magnification,F277W_magnification,F444W_magnification
0,COSJ100121+022740,M25,,150.3413630196744,2.46129705298787,0.3714999854564667,0.3707,10.81851,0.8601918500982466,18.050724381869905,17.680151482524884,15.885438186291942,16.727561845373224,25.321823278297433,24.60976210059779,22.973769822765433,22.246669876919725,3.1109295508837382,3.3924122837364523,4.486904064121726,5.253318967982106
1,COSJ100119+014849,M25,,150.33052581051132,1.8136161881152442,,,,1.135041038746596,22.675377189598706,21.744796082875943,19.173189812576645,18.71769684621413,23.22798237198254,22.028644201405935,19.46581464676156,19.404120462263798,1.7652505927541808,1.852537320376144,1.8749188836547401,1.8558497589931142
2,COSJ100047+015023,M25,,150.19858409162038,1.8397845591054762,0.8932645916938782,0.893,11.44129,1.6158323882194392,18.7690792626873,18.2779997628965,16.081552359510113,16.29298779852026,24.215192125728112,24.200456342584765,20.923039050718,21.78247181009341,3.8684646749535254,2.862108253205468,3.742646891840616,4.213074794045232
3,COSJ100028+021928,M25,,150.1190671708019,2.324503233664766,0.604284405708313,0.6001,10.99999,0.6602664887136099,19.235756719680108,18.682864493784813,16.2769540604181,16.880044455879883,22.211644948121247,21.871814389908618,20.125117690073846,20.372868037196888,3.5304236368572885,3.291756927378429,3.750308348861776,3.8707988110481653
4,COSJ100025+015245,M25,,150.10670790017426,1.8792871027321225,-99.0,2.4486,10.39627,0.5345366264781819,22.665548756716774,22.18079340370503,19.23406711756669,18.777769856702335,24.260913277796735,23.246942981874795,21.150627215894804,20.21581061823803,2.6316325860180965,3.121822748520792,4.494474097514255,4.517083193589365
5,COSJ100024+021749,M25,,150.10008884771986,2.2971327568143396,0.3616999983787536,0.36,10.50001,0.7326885749036172,18.631248474864613,18.247566848109386,16.526197954276853,17.210824943962486,24.386568381058737,23.9869615842471,21.980688321446916,21.029358912217532,3.7083165444141506,3.342739164842769,3.3722877625165637,4.437623400494099
6,COSJ100024+015334,M25,,150.1004672146689,1.8930293176894097,1.0109000205993652,2.4539,10.25,0.770812218310262,22.676895930463324,21.557897479423126,18.64062590722771,18.049161988202364,24.543427280770345,23.62575848872223,22.034273888625222,20.568032059116682,6.220514548166991,5.391441075740718,7.109643335100106,6.978169505797993
7,COSJ100018+022138,M25,,150.07693452226474,2.3607571280031108,1.53,1.6894,10.79433,0.3832509558574795,22.229546618869257,21.558157205697967,18.8876025845736,18.470735891945104,22.38171467481702,22.591653439236588,21.307691382502956,21.481994189073223,3.504874310444547,5.114164030532216,5.693752997162179,4.362603674436667
8,COSJ100013+023424,M25,,150.05577532775754,2.573347011778415,-99.0,0.8902,10.94986,1.4549594047352,19.93383519863788,19.41571241510414,17.023419835515387,17.480154814083107,45.347370485805406,26.85941178370609,22.187325678416318,21.597776298273686,3.73427414589726,3.908130377501423,4.4079580219099865,4.803478826387853
9,COSJ100012+022015,M25,,150.05258822687836,2.3377064685593014,0.3771160542964935,0.3803,11.05,0.7477080114393634,17.60530988783235,17.358268936378646,15.540087858715776,16.285704522571763,23.051392212030144,22.993660975140678,22.33046354545836,23.12608464181152,2.3342811036538835,2.972149112428202,2.615381945864729,2.788463855414522
10,COSJ095955+021900,M25,,149.98316205400624,2.316880569919107,nan,0.5771,10.3997,2.1115221193796043,,18.660130249913685,15.978350438592631,16.267757030332483,,21.824140767842117,22.160664535047868,22.42652403426595,,3.6415427411311128,3.1804004941223005,3.4313020022887444
11,COSJ095953+023319,M25,,149.97467814578562,2.555445653187655,0.7312750816345215,0.7265,11.5,1.4413305558118792,18.651572321697422,17.873474102901664,15.621523696254531,16.258307160078537,22.2514264896613,22.864873553021432,20.774420354766967,19.889059631734998,3.232818973226959,4.288399641138564,4.601501915931758,4.8471789025462595
12,COSJ095950+022057,M25,,149.96143032013242,2.3494115442121966,0.9392737746238708,0.94,11.14997,1.0403317706496362,19.379861395663127,18.66885287565462,16.46662764950723,16.66218414903394,25.318300993636235,25.205903923860518,24.04298223198347,24.11864339923248,5.819353687065859,5.849205245367832,7.683194286374532,8.248130304954795
13,COSJ095921+020638,M25,,149.8406894085935,2.1106525060684014,0.4693999886512756,0.4589,10.65002,0.7073845524849228,19.094473481668754,18.331946088136533,16.211000949335492,16.90456610189444,21.024744637481252,22.299019293455196,21.811673606660754,23.040375685143488,2.8731585503916026,3.2536349985987196,3.5404125039285628,3.9417847794743133
14,COSJ095920+015851,M25,,149.8338874862676,1.9809270072173886,0.973900020122528,0.9487,11.24431,0.4478749697748627,19.537038942480528,18.953605913957688,16.57293540785259,16.666538037020345,23.739639518575018,22.834993471595016,20.78276539007065,21.220357571649064,2.0264560751706577,2.3888012455977936,2.1727305665567487,2.21192518260675
15,COSJ095917+015424,M25,,149.82146219474356,1.9068730333381596,-99.0,1.252,10.89796,0.5780012978894679,21.109877622928234,20.54148265238193,18.018231922779847,18.048399317374646,24.009553561374425,24.472204886684942,22.769478878989496,20.610427457080963,3.2081897333597467,3.4521940762114607,5.0375337745290665,5.09944571779376
16,COSJ095914+021219,M25,,149.81142152376898,2.2054401069265896,1.0528000593185425,1.3674,11.3,1.4798766337363574,20.146929882277405,19.436987334497275,16.808151138208125,16.83130444724514,25.97248921719735,25.042657128193717,23.896915451303936,24.666221103406915,4.528881284609886,4.586600152081012,4.169913900869842,3.4116668289905667
17,COSJ100110+015415,S12,AAAAAA,150.29218875737612,1.9042113856322762,0.6032000184059143,0.5392,10.50007,0.46424017125153355,19.819093363855686,19.40276845222192,17.46676347013844,18.076741118856905,21.8212440017234,21.867705261386618,21.057586283723623,21.493170589703304,3.28006922884012,3.326528640337397,2.8167497838488518,3.366450842093225
18,COSJ095908+021559,S12,AAAAAA,149.78554235257505,2.266505888755059,0.7009000182151794,0.7054,10.94988,0.3108107017414379,19.542969537923536,19.137164436719814,16.951232757325432,17.602986464110373,22.671127629551826,22.62423964978244,21.518921997452846,21.72105750536162,2.1174206255422723,1.9802405260250704,2.835806122766068,3.024927597921257
19,COSJ100152+022856,S11,AAAAAB,150.46973049339522,2.4823390309435234,-99.0,0.6649,10.25152,0.23073598369233228,20.603752530150842,20.265028443990865,18.214791609167712,18.843449592316745,23.301570672746685,23.291078402960377,22.888201060003695,23.52539131447254,2.372433861931574,2.8092766135753324,3.474825980105319,5.6553705479458145
20,COSJ100052+014856,S11,AAAAAB,150.21825342274576,1.8156437868807471,0.1688557863235473,0.1601,10.31356,1.004128383149621,17.30043340364655,16.97148468739705,15.68532212096233,16.343071240107236,23.689474640796494,23.620338313695896,22.03169769640965,22.69666844017819,3.0822620887999883,3.127492298396249,2.961286549620797,2.9488437750861274
21,COSJ095941+022634,S11,AAAAAB,149.92275460138035,2.44297240104556,-99.0,1.4409,10.25458,0.29841200550522595,22.84949577202487,22.251633826160308,19.746159186503657,19.453656595820615,25.01743837300581,25.10949368445573,23.946253843737246,23.589997047134208,3.217332846674101,3.0111069875476666,3.411698994041574,4.406019490462746
22,COSJ095930+021351,S10,AAAASS,149.87535531302692,2.2310996844049047,nan,-99.0,-99.0,1.7424549006321641,16.633491176595232,16.368036242184992,14.560953787727795,15.290651494797057,22.323586785479623,22.114681274396403,19.90433448375979,19.66411894677056,3.8169676118245888,3.8538710762756287,4.218620935553995,4.204970070599372
23,COSJ100050+020357,S10,AAAABS,150.21190845567642,2.0660897406963152,0.940500020980835,0.9225,10.8,0.388703511519185,20.272591852887302,19.507831848464182,16.935689705497925,17.127370986716222,24.27168283929801,24.38372074609276,23.737951302015446,23.632736956636695,1.5884317302162723,1.9386102754196037,2.0860742239941445,2.1129835516121203
24,COSJ100020+023332,S10,AAAABS,150.08343344395638,2.5590671846988933,0.5098000168800354,0.4815,10.70298,0.7243736184027377,19.27860922979289,18.836477473760365,16.92184014798021,17.604194173697795,24.85721220180367,23.390135394849462,22.351180828834437,22.279865592129436,3.6952338990283398,3.4605790457129357,3.333058892579272,4.09103645167438
25,COSJ095922+021812,S10,AAAABS,149.84222277349824,2.3033770990009255,0.5127000212669373,0.5231,11.02012,0.6967953336500885,18.384091917147025,17.86230975639284,15.969159963573286,16.678229554980906,24.51015749029059,23.974412001651537,22.31540358015242,22.08110796271457,2.2594042090781783,2.7163229939035713,2.440732493932896,2.81398529209996
26,COSJ100157+021407,S10,AAAABB,150.49052322787023,2.235357128701907,0.8328999876976013,0.8225,10.83261,0.6398125695007484,19.889021266977633,19.42609399861278,17.162504326434792,17.621786001059917,24.905453720939875,24.05533370640474,22.757149241576865,22.975987999660934,5.071768569772634,4.078061957093984,2.959246321962409,3.5308541274781895
27,COSJ100104+015631,S10,AAAABB,150.27045494831992,1.9421776224325604,0.9307000041007996,0.9251,9.95016,0.4098787487124541,21.707833750662722,21.588346063830564,19.544900919201588,19.73691942159097,23.94103765479036,24.23964880100609,22.811122500344197,23.08457894933759,3.135833602183109,3.6318716505973385,4.228887342764221,4.270435272839115
28,COSJ100027+020051,S10,AAAABB,150.1132223437637,2.014217545476713,0.840499997138977,0.8386,10.89901,0.8752354230352707,19.768797489682456,19.260891564077323,16.98720757552087,17.37119324391934,25.465522386357964,25.89234744344404,23.18503311476508,23.962145118878382,2.486432688292592,2.4001282910084876,2.4753430570456785,2.343200460305622
29,COSJ100005+021223,S10,AAAABB,150.02317718432357,2.2064831180216693,0.9384999871253968,0.9366,10.95005,0.5412939643686681,19.935485798308143,19.427825087370138,17.09929807863845,17.331823338626442,22.85627715942275,22.944700165637016,21.09378089563825,21.575163011765746,3.8185755162178676,3.9305449870899394,5.218257252793536,5.276920047114227
30,COSJ095943+022046,S10,AAAABB,149.93243506883567,2.346200136560891,-99.0,0.6907,11.2,0.6884753361853797,18.65192306893622,18.15468112006725,16.07973757902605,16.887180589769997,23.39463382979575,23.00147231200977,20.964303381701956,22.36992375596853,3.7414185234079405,4.023291290197135,4.3603281050143545,4.846076648890185
31,COSJ095923+021836,S10,AAAABB,149.84686336108354,2.310166367821878,0.7311000227928162,0.7562,11.2,0.3006360811981884,19.484585018707143,18.91451887278634,16.703964197270892,17.307492636735972,22.242819291603826,21.675028621473988,19.46151817622421,20.108173317858466,1.5573460729669864,1.6465486267461078,1.8616011529152843,1.855154410116428
32,COSJ095912+020751,S10,AAAABB,149.8006357447148,2.131076032744663,1.143399953842163,1.1882,10.89948,0.46301160603195746,21.328267429886353,20.790219259741896,18.066805531392745,18.081639820853532,23.245617237754153,22.88141563665115,21.34020139971009,21.430123600707866,3.862073559474805,4.413983902204259,5.887773431353259,7.094345851836912
33,COSJ100028+021731,S10,AAAAAU,150.11824595743911,2.2920934155835826,1.1548000574111938,0.9999,10.88302,1.0988619782114033,20.47522915560159,19.90411223762269,17.52676590545845,17.473480437971247,23.338490919148086,22.667213904205404,19.729055333421847,18.74964522407534,3.2497687939419504,3.354928765579636,3.439871016592402,3.2869354849132466
34,COSJ100015+023621,S09,AAABSS,150.06386144159345,2.605837443418931,0.6895999908447266,0.7016,10.72878,1.5631020900667831,19.651717637520864,19.176583909912257,17.066334327500407,17.755324879802007,24.450102965716553,24.36820300714732,21.99199666218746,21.507192312744316,3.2720565080558344,3.8369328868500463,2.996681607830292,3.250407045403411
35,COSJ095957+023529,S09,AAABSS,149.9885690151606,2.591580789836895,-99.0,1.629,10.33499,0.485811847114859,22.98615675256571,22.4874188986947,19.520167886805737,18.972784200485062,24.385800619881564,23.79105540724815,22.771466020338043,22.45509029860484,2.5432709472569957,2.3159482865073735,2.391274952103202,2.4231653578146166
36,COSJ095912+020750,S09,AAABSS,149.80159582065713,2.1308232322180465,-99.0,0.3296,10.34985,0.9049612722247332,18.67879206714181,18.262737141459006,16.39843604391454,17.054209451722826,24.00498210849059,23.33165520925685,21.83498567218284,21.687727161080247,3.716476754070682,3.662810748136906,3.7738649043704564,4.166191868659613
37,COSJ100122+022132,S09,AAABBS,150.34440688896393,2.358975719332296,-99.0,2.4927,10.90848,0.42600155396765255,23.437486213566338,21.775708146970107,19.05497093873098,18.51153197552849,23.774487434362236,23.81827314606261,23.267453569062113,23.507818172783942,3.809221675794375,2.8901275381039957,3.167725106183015,3.0606941954147766
38,COSJ100103+020159,S09,AAABBS,150.2638785511415,2.0330913136841073,1.440999984741211,1.2207,10.83461,0.7255679592688979,20.984947947954634,20.46870726816752,18.205181260715282,18.14274190313781,23.36748210272001,22.66663861156711,22.15834987818867,21.361416260433256,3.1146239164850065,3.373143025703273,3.1507211131404547,3.165402616529503
39,COSJ100133+022036,S09,AAABBB,150.39149675775258,2.3435291503971594,-99.0,1.2988,10.50129,0.4106500789459106,23.105863215918113,22.266579038452598,19.229518213858718,18.762798437444985,24.8743326967106,23.938141216680506,23.15148679440838,21.86510554997387,3.294193815763722,2.9219552700936404,3.038175019314332,3.34092494873734
40,COSJ100144+022826,S09,AAAASX,150.43477390272383,2.4741076613951107,1.1483999490737915,1.2606,11.00474,0.22032379427070758,20.9206511443112,20.300562420927655,17.623506600891048,17.452879357709335,25.189828650456832,24.4114641676271,21.28516270178195,20.84531988100919,1.418812852471279,1.565970859115301,1.8254402969825936,1.9241070611317044
41,COSJ100018+023741,S09,AAAABX,150.07718202774788,2.6282201707261756,-99.0,0.6993,11.1,0.47003165370060274,19.44631236100673,19.042603018590754,16.83271355932274,17.444233974958824,23.714691921549502,22.976888017673655,21.724035552371376,22.168122722087755,3.031627686246786,2.890640603304785,3.184803915439952,3.4401037390112577
42,COSJ100013+020223,S09,AAAABX,150.0546295217227,2.039860243917861,0.6769000291824341,0.6985,9.76621,0.2307583143077808,21.78069143953611,21.661642089772435,19.740906105442978,20.380607850929078,24.055596110938364,24.266509205743812,22.34402293618129,22.886980008318442,2.4321170529710296,2.9692655821288065,4.478641757923571,4.240497677115906
43,COSJ095917+021725,S09,AAAABX,149.82191439912194,2.2904767075826746,-99.0,0.9896,10.15,0.47091308225365003,21.67787677213703,21.25545044239995,19.134472098929734,19.295323468897394,24.38204001355122,24.45044434424634,24.191553146067832,25.53148178391521,3.624960937509082,3.3331327813376297,4.669851988707534,4.678055837931123
44,COSJ100046+015029,S09,AAAABU,150.19514597016976,1.841505973839489,0.8126999735832214,0.8042,10.50529,0.5165236197167611,20.870260225337184,20.287251921320074,18.035757903172048,18.38557854639111,22.942787015767042,23.278756077946213,21.499284097443155,22.333683006342714,5.241223349059035,5.584082740662117,7.615419946536709,7.601887030740705
45,COSJ100106+015848,S08,AABBBS,150.2771692311271,1.9800026699962467,0.9099000096321106,0.9101,9.76764,0.2552783940767803,22.283534005144695,22.137503688573325,19.812077216033018,20.12660533958018,24.46217891486724,24.438014733621294,23.58834257957015,24.002650215330874,2.1472817533037705,2.0373963939195967,2.708592925509453,2.853627106399967
46,COSJ100100+015653,S08,AABBBS,150.2533317533975,1.9481074498451918,1.0236138105392456,1.0099,11.10093,0.5891231045101567,,,16.62438864067132,16.74798542547937,,,21.469308219533968,19.73317054133534,,,2.584870798114729,2.6567904564861697
47,COSJ100132+022652,S08,AAABSX,150.38567717936525,2.4478337840361304,0.6837000250816345,0.6913,10.98507,0.547574580317997,19.70056591934506,19.187886913111466,16.65861961920766,17.29758837811741,24.166180389459843,23.40462857362235,20.887308283369347,22.09013959304137,2.3052776657414586,2.4998503486883905,2.499296395460622,2.580187263102636
48,COSJ100012+023421,S08,AAABSX,150.0509356585729,2.572699984662726,0.6191999912261963,0.6096,11.10098,0.4589770098262553,18.87483684809513,18.362385818691017,16.269557799718832,16.968993461838878,23.104289385480577,22.43773064272026,20.82282039324149,21.217716930820334,2.052595203479548,2.3610338246885676,2.731881850915908,2.5998439589551983
49,COSJ100042+020212,S08,AAABBX,150.17907812075794,2.0367981769871886,0.2197964787483215,0.22,10.49855,0.4874834705961978,17.66022528759537,17.26376579889611,16.0492157121686,16.616044772048074,23.077981535142122,22.212169227914597,21.483951922805353,21.637314855215735,2.302610499713649,2.6406317534590786,3.120157910975599,3.428677737895241
50,COSJ100033+021339,S08,AAABBX,150.13914229196897,2.2275567933410665,-99.0,1.6185,10.45428,0.5846272639854516,22.97127207610422,22.319762605333608,19.64990850966447,19.35891716650587,26.11362551905137,24.300929274790338,23.627176187104272,23.534794315930466,6.668679422992136,5.568269159642745,5.677063205613879,6.2431300948365065
51,COSJ095946+021328,S08,AAABBX,149.9419297883268,2.224700381944945,-99.0,1.1695,9.83574,0.36368750497977437,22.011090420940935,21.877593328848224,19.88100029138343,20.02994714643872,inf,25.619284321591618,24.972116704431965,25.488554608790512,nan,2.4145443871976715,2.8789080018434636,2.644724210150486
52,COSJ100108+021907,S08,AAABBU,150.28565441637187,2.3188352359202393,-99.0,1.3449,9.84487,0.2671520239827323,22.576622462362078,22.153888476766195,20.234163569401808,20.192401966284095,24.388849212281382,24.077739216792665,23.85582547939746,22.998613875290122,1.9170249542528965,2.152368750024154,1.9708523462631302,2.0187636501995248
53,COSJ095939+023239,S08,AAABBU,149.91389135453326,2.544269957073864,-99.0,0.6732,10.60023,1.0666193613525958,19.98213065234444,19.566756471996257,17.40606527476205,18.01525186471055,26.612890503022733,25.985236412435782,22.476960949655883,21.680254926462506,3.0726903922816646,5.300510778874849,4.027249097699836,4.769470162938235
54,COSJ095937+022744,S08,AAABBU,149.90566984032304,2.462283004817994,0.4146000146865845,0.4037,9.19762,0.3303465580698865,21.94152159624824,21.7509431307063,20.043367018371654,20.60451903460866,23.935001765388872,23.784654241627283,22.726667101117386,23.94262677047019,3.017714970088661,3.0519373044928364,3.328347476901687,3.084240631003959
55,COSJ095923+021632,S08,AAABBU,149.84738079890042,2.2756296668446545,-99.0,0.1093,8.0,0.47270764376432195,23.105081492345718,22.9981213642961,21.177137944526464,20.99679973184665,21.21808008152563,20.986970246458913,20.908016767845563,21.806523680441742,2.4671222281638903,2.5379430646163272,2.8292469168018237,2.8814150650354744
56,COSJ100120+021646,S08,AAAAUX,150.33699913663077,2.279513636288637,0.3732228875160217,0.3315,10.89997,0.5972227441596166,17.18353432113335,16.743279687703172,14.924088131619838,15.654542127565145,22.981104404860574,23.266484832661984,20.68153960433869,20.502968971270803,1.7158084720470792,1.8683340247210727,2.2705257108935566,2.2642107532925033
57,COSJ100151+022625,S08,AAAAUU,150.46359652815121,2.440479571309313,1.019429087638855,0.9863,11.35,0.6975919023248036,18.922459234069773,18.156369098843456,16.090920406096267,16.262733139675625,21.200381814322917,19.018955276212488,22.16953773584184,22.561103074883874,2.5863388450439273,3.151482646594955,2.5177844608681452,2.013599638175986
58,COSJ095947+022657,S08,AAAAUU,149.94840208716326,2.449396335152912,0.7231000065803528,0.7273,10.3988,0.3258249329651823,20.80898235684481,20.4974088268269,18.341131026533297,18.80187614314727,22.67918517859605,22.543607276468904,20.010511773234903,21.357227515082307,3.475285156412527,3.5868010666466232,4.387732344752708,4.488675680067609
59,COSJ100114+023042,S07,ABBBBS,150.31126735204725,2.5119212745997626,0.5195000171661377,0.5215,10.95456,0.9587959974375123,18.191281515440618,17.77788164425334,15.780983710240633,16.525966805000138,24.975416078106363,24.737215380076766,23.422815934916393,24.596827620486188,3.2262861046373006,3.681389919992699,3.839824252491803,4.067196659785976
60,COSJ095950+021636,S07,ABBBBB,149.95914937667786,2.2769170011464963,0.933312714099884,0.9263,11.1,1.5005509317887809,19.415102687534095,19.00958623601726,16.76594600752746,17.021567102591426,25.44554819281162,25.77709187967654,23.426177851541272,23.589094432490104,5.0970135780797055,6.3877736257808415,7.693340309989986,6.7642497459431015
61,COSJ100103+014547,S07,AABSSY,150.26404888324433,1.763195765532493,0.6783999800682068,0.6928,10.40372,0.27806567707182345,20.830978622680632,20.34128823488721,18.057159712814432,18.920043473890743,25.109485771217543,24.420335459754728,22.82788338340504,23.120388208864235,1.3116591644134095,1.6992229778841894,2.4693538739187924,2.6487665974501002
62,COSJ100148+022724,S07,AABSSU,150.45158701270543,2.4567791899729174,0.2240999937057495,0.21,9.45622,0.38075393054344603,19.36563334754181,19.14952604171812,17.78536184181916,18.323936201397466,22.692762560389305,21.970329032710673,21.303268581161632,20.3360934487439,1.6753189582293329,1.672117034508118,1.6640238355009784,1.676791005249271
63,COSJ100041+022807,S07,AABSSU,150.1744772189351,2.4687592052562293,0.6699000000953674,0.6706,10.85,0.6260863141588465,19.77634476214844,19.349444584569373,17.059123764848984,17.879321259290236,23.835757352958787,23.647837038745834,22.825037239265388,23.007416734541398,2.906402482226758,3.437209046469538,2.706945250761469,2.56399860176431
64,COSJ100004+015307,S07,AABBSU,150.0206159743143,1.8853196621891417,0.3380602598190307,0.331,11.07038,0.8136434533644751,,16.953773392242955,,,,21.207329468995358,,,,2.5840486027842795,,
65,COSJ100105+020959,S07,AABBBX,150.27359106542536,2.1665299553675825,0.7506999969482422,0.781,9.40155,0.49072970639678454,21.431958189970345,21.304783627800177,19.373330740617174,19.79517980451992,23.243291062328815,23.459421562461042,22.892694565874205,22.436073623920294,3.0424993166231813,3.054079249473774,3.0164203746857217,2.938372641557534
66,COSJ100038+023226,S07,AABBBX,150.15940996155445,2.540809306800187,0.490799993276596,0.5177,9.94119,0.17442594973273962,21.043530158389125,20.870032314351526,18.97023090289964,19.580785280107452,22.857082982455566,22.69993899046202,22.377056006609642,22.20245049176254,1.6191364424393986,1.5669494619911188,1.7315665383813934,1.611356868248389
